date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2019-08-14,17.36,3.36,450,"1989-08-07 2018-08-21",88.26,7.39,450,"1989-08-07 2018-08-21",26.21,3.51,450,"1989-08-07 2018-08-21",23.98,8.39,450,"1989-08-07 2018-08-21",12.32,3.64,450,"1989-08-07 2018-08-21",50.67,11.78,450,"1989-08-07 2018-08-21",15.79,3.18,450,"1989-08-07 2018-08-21",3.04,3.61,450,"1989-08-07 2018-08-21",2.57,6.53,449,"1989-08-07 2018-08-21",2.57,6.53,449,"1989-08-07 2018-08-21",0,0,449,"1989-08-07 2018-08-21",0,0,360,"1989-08-07 2012-08-21",,,,
2019-08-13,17.32,3.4,450,"1989-08-06 2018-08-20",87.93,7.63,450,"1989-08-06 2018-08-20",26.23,3.52,450,"1989-08-06 2018-08-20",23.94,8.41,450,"1989-08-06 2018-08-20",12.29,3.71,450,"1989-08-06 2018-08-20",50.5,11.86,450,"1989-08-06 2018-08-20",15.8,3.23,450,"1989-08-06 2018-08-20",3.1,3.72,450,"1989-08-06 2018-08-20",2.45,6.4,448,"1989-08-06 2018-08-20",2.45,6.4,448,"1989-08-06 2018-08-20",0,0,449,"1989-08-06 2018-08-20",0,0,360,"1989-08-06 2012-08-20",,,,
2019-08-12,17.31,3.44,450,"1989-08-05 2018-08-19",87.65,7.76,450,"1989-08-05 2018-08-19",26.33,3.5,450,"1989-08-05 2018-08-19",23.97,8.47,450,"1989-08-05 2018-08-19",12.25,3.74,450,"1989-08-05 2018-08-19",50.03,11.78,450,"1989-08-05 2018-08-19",15.81,3.24,450,"1989-08-05 2018-08-19",3.19,3.78,450,"1989-08-05 2018-08-19",2.36,6.34,449,"1989-08-05 2018-08-19",2.36,6.34,449,"1989-08-05 2018-08-19",0,0,450,"1989-08-05 2018-08-19",0,0,360,"1989-08-05 2012-08-19",,,,
2019-08-11,17.43,3.44,450,"1989-08-04 2018-08-18",87.7,7.83,450,"1989-08-04 2018-08-18",26.49,3.5,450,"1989-08-04 2018-08-18",24.1,8.49,450,"1989-08-04 2018-08-18",12.37,3.77,450,"1989-08-04 2018-08-18",50.06,12.13,450,"1989-08-04 2018-08-18",15.94,3.24,450,"1989-08-04 2018-08-18",3.17,3.78,450,"1989-08-04 2018-08-18",2.49,6.45,449,"1989-08-04 2018-08-18",2.49,6.45,449,"1989-08-04 2018-08-18",0,0,450,"1989-08-04 2018-08-18",0,0,360,"1989-08-04 2012-08-18",,,,
2019-08-10,17.53,3.41,450,"1989-08-03 2018-08-17",87.73,7.93,450,"1989-08-03 2018-08-17",26.59,3.53,450,"1989-08-03 2018-08-17",24.13,8.48,450,"1989-08-03 2018-08-17",12.44,3.76,450,"1989-08-03 2018-08-17",50.08,12.52,450,"1989-08-03 2018-08-17",16.04,3.2,450,"1989-08-03 2018-08-17",3.16,3.76,450,"1989-08-03 2018-08-17",2.65,6.74,449,"1989-08-03 2018-08-17",2.65,6.74,449,"1989-08-03 2018-08-17",0,0,450,"1989-08-03 2018-08-17",0,0,360,"1989-08-03 2012-08-17",,,,
2019-08-09,17.61,3.38,450,"1989-08-02 2018-08-16",87.52,8.04,450,"1989-08-02 2018-08-16",26.69,3.57,450,"1989-08-02 2018-08-16",24.12,8.27,450,"1989-08-02 2018-08-16",12.52,3.7,450,"1989-08-02 2018-08-16",50.14,12.72,450,"1989-08-02 2018-08-16",16.16,3.19,450,"1989-08-02 2018-08-16",3.08,3.74,450,"1989-08-02 2018-08-16",2.76,6.92,449,"1989-08-02 2018-08-16",2.76,6.92,449,"1989-08-02 2018-08-16",0,0,450,"1989-08-02 2018-08-16",0,0,360,"1989-08-02 2012-08-16",,,,
2019-08-08,17.63,3.37,450,"1989-08-01 2018-08-15",87.36,8,450,"1989-08-01 2018-08-15",26.81,3.59,450,"1989-08-01 2018-08-15",24.21,8.07,450,"1989-08-01 2018-08-15",12.56,3.69,450,"1989-08-01 2018-08-15",49.65,12.6,450,"1989-08-01 2018-08-15",16.24,3.24,450,"1989-08-01 2018-08-15",3.12,3.73,450,"1989-08-01 2018-08-15",2.82,7.02,448,"1989-08-01 2018-08-15",2.82,7.02,448,"1989-08-01 2018-08-15",0,0,449,"1989-08-01 2018-08-15",0,0,359,"1989-08-01 2012-08-15",,,,
2019-08-07,17.63,3.33,450,"1989-07-31 2018-08-14",87.23,7.95,450,"1989-07-31 2018-08-14",26.84,3.64,450,"1989-07-31 2018-08-14",24.08,7.84,450,"1989-07-31 2018-08-14",12.57,3.65,450,"1989-07-31 2018-08-14",49.58,12.66,450,"1989-07-31 2018-08-14",16.28,3.22,450,"1989-07-31 2018-08-14",3.17,3.71,450,"1989-07-31 2018-08-14",2.93,7.27,448,"1989-07-31 2018-08-14",2.93,7.27,448,"1989-07-31 2018-08-14",0,0,449,"1989-07-31 2018-08-14",0,0,359,"1989-07-31 2012-08-14",,,,
2019-08-06,17.6,3.27,450,"1989-07-30 2018-08-13",86.93,8.09,450,"1989-07-30 2018-08-13",26.9,3.6,450,"1989-07-30 2018-08-13",24.01,7.73,450,"1989-07-30 2018-08-13",12.59,3.59,450,"1989-07-30 2018-08-13",49.45,12.69,450,"1989-07-30 2018-08-13",16.34,3.19,450,"1989-07-30 2018-08-13",3.19,3.67,450,"1989-07-30 2018-08-13",2.95,7.12,448,"1989-07-30 2018-08-13",2.95,7.12,448,"1989-07-30 2018-08-13",0,0,449,"1989-07-30 2018-08-13",0,0,359,"1989-07-30 2012-08-13",,,,
2019-08-05,17.58,3.29,450,"1989-07-29 2018-08-12",86.8,8.04,450,"1989-07-29 2018-08-12",26.96,3.56,450,"1989-07-29 2018-08-12",24.24,7.64,450,"1989-07-29 2018-08-12",12.55,3.56,450,"1989-07-29 2018-08-12",49.1,12.42,450,"1989-07-29 2018-08-12",16.37,3.18,450,"1989-07-29 2018-08-12",3.18,3.71,450,"1989-07-29 2018-08-12",2.89,7.04,448,"1989-07-29 2018-08-12",2.89,7.04,448,"1989-07-29 2018-08-12",0,0,449,"1989-07-29 2018-08-12",0,0,359,"1989-07-29 2012-08-12",,,,
2019-08-04,17.6,3.29,450,"1989-07-28 2018-08-11",86.78,8.07,450,"1989-07-28 2018-08-11",27,3.54,450,"1989-07-28 2018-08-11",24.4,7.65,450,"1989-07-28 2018-08-11",12.52,3.65,450,"1989-07-28 2018-08-11",48.87,12.48,450,"1989-07-28 2018-08-11",16.38,3.19,450,"1989-07-28 2018-08-11",3.21,3.7,450,"1989-07-28 2018-08-11",2.89,6.98,448,"1989-07-28 2018-08-11",2.89,6.98,448,"1989-07-28 2018-08-11",0,0,449,"1989-07-28 2018-08-11",0,0,359,"1989-07-28 2012-08-11",,,,
2019-08-03,17.63,3.31,450,"1989-07-27 2018-08-10",86.76,8.08,450,"1989-07-27 2018-08-10",27.05,3.55,450,"1989-07-27 2018-08-10",24.47,7.67,450,"1989-07-27 2018-08-10",12.55,3.65,450,"1989-07-27 2018-08-10",48.79,12.39,450,"1989-07-27 2018-08-10",16.43,3.18,450,"1989-07-27 2018-08-10",3.21,3.7,450,"1989-07-27 2018-08-10",2.8,6.8,447,"1989-07-27 2018-08-10",2.8,6.8,447,"1989-07-27 2018-08-10",0,0,448,"1989-07-27 2018-08-10",0,0,359,"1989-07-27 2012-08-10",,,,
2019-08-02,17.64,3.31,450,"1989-07-26 2018-08-09",86.73,8,450,"1989-07-26 2018-08-09",27.08,3.49,450,"1989-07-26 2018-08-09",24.34,7.54,450,"1989-07-26 2018-08-09",12.57,3.66,450,"1989-07-26 2018-08-09",48.84,12.47,450,"1989-07-26 2018-08-09",16.46,3.17,450,"1989-07-26 2018-08-09",3.28,3.69,450,"1989-07-26 2018-08-09",2.77,6.71,447,"1989-07-26 2018-08-09",2.77,6.71,447,"1989-07-26 2018-08-09",0,0,448,"1989-07-26 2018-08-09",0,0,359,"1989-07-26 2012-08-09",,,,
2019-08-01,17.65,3.3,450,"1989-07-25 2018-08-08",86.8,7.96,450,"1989-07-25 2018-08-08",27.14,3.43,450,"1989-07-25 2018-08-08",24.44,7.69,450,"1989-07-25 2018-08-08",12.52,3.63,450,"1989-07-25 2018-08-08",48.41,12.25,450,"1989-07-25 2018-08-08",16.47,3.15,450,"1989-07-25 2018-08-08",3.3,3.69,450,"1989-07-25 2018-08-08",2.73,6.52,447,"1989-07-25 2018-08-08",2.73,6.52,447,"1989-07-25 2018-08-08",0,0,448,"1989-07-25 2018-08-08",0,0,359,"1989-07-25 2012-08-08",,,,
2019-07-31,17.62,3.32,450,"1989-07-24 2018-08-07",86.61,7.96,450,"1989-07-24 2018-08-07",27.14,3.42,450,"1989-07-24 2018-08-07",24.44,7.54,450,"1989-07-24 2018-08-07",12.51,3.65,450,"1989-07-24 2018-08-07",48.34,12.16,450,"1989-07-24 2018-08-07",16.48,3.14,450,"1989-07-24 2018-08-07",3.27,3.66,450,"1989-07-24 2018-08-07",2.6,6.23,447,"1989-07-24 2018-08-07",2.6,6.23,447,"1989-07-24 2018-08-07",0,0,448,"1989-07-24 2018-08-07",0,0,359,"1989-07-24 2012-08-07",,,,
2019-07-30,17.73,3.31,450,"1989-07-23 2018-08-06",86.7,8.03,450,"1989-07-23 2018-08-06",27.23,3.42,450,"1989-07-23 2018-08-06",24.69,7.55,450,"1989-07-23 2018-08-06",12.54,3.64,450,"1989-07-23 2018-08-06",48.26,12.2,450,"1989-07-23 2018-08-06",16.54,3.09,450,"1989-07-23 2018-08-06",3.31,3.68,450,"1989-07-23 2018-08-06",2.78,6.68,447,"1989-07-23 2018-08-06",2.78,6.68,447,"1989-07-23 2018-08-06",0,0,448,"1989-07-23 2018-08-06",0,0,359,"1989-07-23 2012-08-06",,,,
2019-07-29,17.86,3.3,450,"1989-07-22 2018-08-05",86.86,7.95,450,"1989-07-22 2018-08-05",27.32,3.43,450,"1989-07-22 2018-08-05",24.62,7.45,450,"1989-07-22 2018-08-05",12.69,3.6,450,"1989-07-22 2018-08-05",48.54,12.17,450,"1989-07-22 2018-08-05",16.65,3.06,450,"1989-07-22 2018-08-05",3.2,3.56,450,"1989-07-22 2018-08-05",3.11,7.05,448,"1989-07-22 2018-08-05",3.11,7.05,448,"1989-07-22 2018-08-05",0,0,448,"1989-07-22 2018-08-05",0,0,359,"1989-07-22 2012-08-05",,,,
2019-07-28,17.93,3.24,450,"1989-07-21 2018-08-04",86.78,7.94,450,"1989-07-21 2018-08-04",27.38,3.45,450,"1989-07-21 2018-08-04",24.56,7.34,450,"1989-07-21 2018-08-04",12.74,3.56,450,"1989-07-21 2018-08-04",48.64,12.2,450,"1989-07-21 2018-08-04",16.77,3.04,450,"1989-07-21 2018-08-04",3.09,3.54,450,"1989-07-21 2018-08-04",3.04,6.84,448,"1989-07-21 2018-08-04",3.04,6.84,448,"1989-07-21 2018-08-04",0,0,448,"1989-07-21 2018-08-04",0,0,359,"1989-07-21 2012-08-04",,,,
2019-07-27,17.89,3.22,450,"1989-07-20 2018-08-03",86.54,7.97,450,"1989-07-20 2018-08-03",27.35,3.47,450,"1989-07-20 2018-08-03",24.48,7.28,450,"1989-07-20 2018-08-03",12.66,3.52,450,"1989-07-20 2018-08-03",48.45,12.06,450,"1989-07-20 2018-08-03",16.75,3.02,450,"1989-07-20 2018-08-03",3.06,3.52,450,"1989-07-20 2018-08-03",2.93,6.89,448,"1989-07-20 2018-08-03",2.93,6.89,448,"1989-07-20 2018-08-03",0,0,448,"1989-07-20 2018-08-03",0,0,359,"1989-07-20 2012-08-03",,,,
2019-07-26,17.85,3.28,450,"1989-07-19 2018-08-02",86.41,8.12,450,"1989-07-19 2018-08-02",27.34,3.49,450,"1989-07-19 2018-08-02",24.72,7.93,450,"1989-07-19 2018-08-02",12.57,3.55,450,"1989-07-19 2018-08-02",48.29,11.68,450,"1989-07-19 2018-08-02",16.71,3.05,450,"1989-07-19 2018-08-02",3.06,3.52,450,"1989-07-19 2018-08-02",3.04,6.98,448,"1989-07-19 2018-08-02",3.04,6.98,448,"1989-07-19 2018-08-02",0,0,448,"1989-07-19 2018-08-02",0,0,359,"1989-07-19 2012-08-02",,,,
2019-07-25,17.84,3.33,450,"1989-07-18 2018-08-01",86.52,7.94,450,"1989-07-18 2018-08-01",27.33,3.49,450,"1989-07-18 2018-08-01",24.8,7.91,450,"1989-07-18 2018-08-01",12.5,3.62,450,"1989-07-18 2018-08-01",48.18,11.52,450,"1989-07-18 2018-08-01",16.7,3.09,450,"1989-07-18 2018-08-01",3.12,3.55,450,"1989-07-18 2018-08-01",2.89,6.75,448,"1989-07-18 2018-08-01",2.89,6.75,448,"1989-07-18 2018-08-01",0,0,448,"1989-07-18 2018-08-01",0,0,359,"1989-07-18 2012-08-01",,,,
2019-07-24,17.86,3.34,450,"1989-07-17 2018-07-31",86.44,8.04,450,"1989-07-17 2018-07-31",27.34,3.57,450,"1989-07-17 2018-07-31",24.99,8.24,450,"1989-07-17 2018-07-31",12.54,3.62,450,"1989-07-17 2018-07-31",48.45,11.71,450,"1989-07-17 2018-07-31",16.73,3.11,450,"1989-07-17 2018-07-31",3.16,3.63,450,"1989-07-17 2018-07-31",2.85,6.72,449,"1989-07-17 2018-07-31",2.85,6.72,449,"1989-07-17 2018-07-31",0,0,449,"1989-07-17 2018-07-31",0,0,360,"1989-07-17 2012-07-31",,,,
2019-07-23,17.88,3.35,450,"1989-07-16 2018-07-30",86.33,8.04,450,"1989-07-16 2018-07-30",27.37,3.57,450,"1989-07-16 2018-07-30",25.01,8.26,450,"1989-07-16 2018-07-30",12.53,3.65,450,"1989-07-16 2018-07-30",48.31,11.77,450,"1989-07-16 2018-07-30",16.75,3.17,450,"1989-07-16 2018-07-30",3.11,3.63,450,"1989-07-16 2018-07-30",2.63,6.36,449,"1989-07-16 2018-07-30",2.63,6.36,449,"1989-07-16 2018-07-30",0,0,449,"1989-07-16 2018-07-30",0,0,360,"1989-07-16 2012-07-30",,,,
2019-07-22,17.95,3.39,450,"1989-07-15 2018-07-29",86.44,7.98,450,"1989-07-15 2018-07-29",27.43,3.61,450,"1989-07-15 2018-07-29",25.37,8.33,450,"1989-07-15 2018-07-29",12.53,3.72,450,"1989-07-15 2018-07-29",48.2,11.63,450,"1989-07-15 2018-07-29",16.79,3.24,450,"1989-07-15 2018-07-29",3.14,3.63,450,"1989-07-15 2018-07-29",2.65,6.49,449,"1989-07-15 2018-07-29",2.65,6.49,449,"1989-07-15 2018-07-29",0,0,449,"1989-07-15 2018-07-29",0,0,360,"1989-07-15 2012-07-29",,,,
2019-07-21,17.95,3.44,450,"1989-07-14 2018-07-28",86.33,8.13,450,"1989-07-14 2018-07-28",27.44,3.67,450,"1989-07-14 2018-07-28",25.33,8.33,450,"1989-07-14 2018-07-28",12.58,3.78,450,"1989-07-14 2018-07-28",48.35,11.76,450,"1989-07-14 2018-07-28",16.85,3.24,450,"1989-07-14 2018-07-28",3.15,3.6,450,"1989-07-14 2018-07-28",2.7,6.59,449,"1989-07-14 2018-07-28",2.7,6.59,449,"1989-07-14 2018-07-28",0,0,449,"1989-07-14 2018-07-28",0,0,360,"1989-07-14 2012-07-28",,,,
2019-07-20,17.89,3.49,450,"1989-07-13 2018-07-27",85.98,8.29,450,"1989-07-13 2018-07-27",27.5,3.68,450,"1989-07-13 2018-07-27",25.37,8.32,450,"1989-07-13 2018-07-27",12.54,3.75,450,"1989-07-13 2018-07-27",48.14,11.83,450,"1989-07-13 2018-07-27",16.89,3.22,450,"1989-07-13 2018-07-27",3.2,3.65,450,"1989-07-13 2018-07-27",2.6,6.53,449,"1989-07-13 2018-07-27",2.6,6.53,449,"1989-07-13 2018-07-27",0,0,449,"1989-07-13 2018-07-27",0,0,360,"1989-07-13 2012-07-27",,,,
2019-07-19,17.8,3.54,450,"1989-07-12 2018-07-26",85.62,8.45,450,"1989-07-12 2018-07-26",27.49,3.67,450,"1989-07-12 2018-07-26",25.2,8.31,450,"1989-07-12 2018-07-26",12.4,3.8,450,"1989-07-12 2018-07-26",47.9,12.05,450,"1989-07-12 2018-07-26",16.83,3.23,450,"1989-07-12 2018-07-26",3.12,3.65,450,"1989-07-12 2018-07-26",2.56,6.64,450,"1989-07-12 2018-07-26",2.56,6.64,450,"1989-07-12 2018-07-26",0,0,450,"1989-07-12 2018-07-26",0,0,360,"1989-07-12 2012-07-26",,,,
2019-07-18,17.66,3.56,450,"1989-07-11 2018-07-25",85.36,8.48,450,"1989-07-11 2018-07-25",27.49,3.65,450,"1989-07-11 2018-07-25",25.21,8.24,450,"1989-07-11 2018-07-25",12.2,3.84,450,"1989-07-11 2018-07-25",47.29,11.89,450,"1989-07-11 2018-07-25",16.73,3.25,450,"1989-07-11 2018-07-25",3.18,3.79,450,"1989-07-11 2018-07-25",2.41,6.49,449,"1989-07-11 2018-07-25",2.41,6.49,449,"1989-07-11 2018-07-25",0,0,449,"1989-07-11 2018-07-25",0,0,359,"1989-07-11 2012-07-25",,,,
2019-07-17,17.58,3.58,450,"1989-07-10 2018-07-24",85.21,8.54,450,"1989-07-10 2018-07-24",27.44,3.68,450,"1989-07-10 2018-07-24",25.41,8.29,450,"1989-07-10 2018-07-24",12.12,3.84,450,"1989-07-10 2018-07-24",47.17,11.87,450,"1989-07-10 2018-07-24",16.66,3.26,450,"1989-07-10 2018-07-24",3.33,3.89,450,"1989-07-10 2018-07-24",2.35,6.51,448,"1989-07-10 2018-07-24",2.35,6.51,448,"1989-07-10 2018-07-24",0,0,448,"1989-07-10 2018-07-24",0,0,359,"1989-07-10 2012-07-24",,,,
2019-07-16,17.62,3.56,450,"1989-07-09 2018-07-23",85.34,8.62,450,"1989-07-09 2018-07-23",27.46,3.69,450,"1989-07-09 2018-07-23",25.66,8.34,450,"1989-07-09 2018-07-23",12.09,3.81,450,"1989-07-09 2018-07-23",47.16,11.89,450,"1989-07-09 2018-07-23",16.68,3.25,450,"1989-07-09 2018-07-23",3.42,3.88,450,"1989-07-09 2018-07-23",2.39,6.54,448,"1989-07-09 2018-07-23",2.39,6.54,448,"1989-07-09 2018-07-23",0,0,448,"1989-07-09 2018-07-23",0,0,359,"1989-07-09 2012-07-23",,,,
2019-07-15,17.59,3.55,450,"1989-07-08 2018-07-22",85.36,8.51,450,"1989-07-08 2018-07-22",27.39,3.7,450,"1989-07-08 2018-07-22",25.71,8.33,450,"1989-07-08 2018-07-22",12.05,3.84,450,"1989-07-08 2018-07-22",47.22,11.82,450,"1989-07-08 2018-07-22",16.65,3.27,450,"1989-07-08 2018-07-22",3.34,3.84,450,"1989-07-08 2018-07-22",2.56,8.53,448,"1989-07-08 2018-07-22",2.56,8.53,448,"1989-07-08 2018-07-22",0,0,448,"1989-07-08 2018-07-22",0,0,359,"1989-07-08 2012-07-22",,,,
2019-07-14,17.54,3.56,450,"1989-07-07 2018-07-21",85.3,8.58,450,"1989-07-07 2018-07-21",27.38,3.67,450,"1989-07-07 2018-07-21",25.78,8.4,450,"1989-07-07 2018-07-21",11.96,3.86,450,"1989-07-07 2018-07-21",47.06,11.89,450,"1989-07-07 2018-07-21",16.61,3.25,450,"1989-07-07 2018-07-21",3.35,3.84,450,"1989-07-07 2018-07-21",2.47,8.42,448,"1989-07-07 2018-07-21",2.47,8.42,448,"1989-07-07 2018-07-21",0,0,448,"1989-07-07 2018-07-21",0,0,359,"1989-07-07 2012-07-21",,,,
2019-07-13,17.47,3.59,450,"1989-07-06 2018-07-20",85.13,8.57,450,"1989-07-06 2018-07-20",27.39,3.63,450,"1989-07-06 2018-07-20",25.89,8.42,450,"1989-07-06 2018-07-20",11.93,3.89,450,"1989-07-06 2018-07-20",46.89,11.8,450,"1989-07-06 2018-07-20",16.57,3.25,450,"1989-07-06 2018-07-20",3.5,3.9,450,"1989-07-06 2018-07-20",2.43,8.42,447,"1989-07-06 2018-07-20",2.43,8.42,447,"1989-07-06 2018-07-20",0,0,447,"1989-07-06 2018-07-20",0,0,359,"1989-07-06 2012-07-20",,,,
